duration,src_bytes,dst_bytes,count,label
0.7670575017539648,2059,7456,12,1
0.22257929488505612,1103,2517,47,1
0.08946654022557099,7065,835,60,1
0.0504669279377179,1396,7910,40,1
0.2685568764391456,7076,6944,9,0
0.23065961413604663,6365,2704,93,0
0.34052773311389106,5578,6455,60,0
0.7666043677635436,7877,7203,24,0
0.1743258104734028,5540,2094,5,1
0.4944575582944012,5939,9960,3,0
0.923729912123937,4131,5350,55,1
0.6516314532450945,9877,7040,31,1
0.8382204475497919,4629,8991,97,1
0.32048251852437626,3304,2737,19,1
0.8351463312696223,7727,9266,91,0
0.8844699572619353,8097,3650,70,0
0.7551880810100864,8558,6548,9,0
0.49118693255871504,8062,2807,77,0
0.4108209108260158,661,5267,82,0
0.5814842796576176,993,3917,4,0
0.21874092661423905,4488,1500,22,0
0.0225239576355043,972,974,73,1
0.8479747027068067,9826,3268,93,1
0.2922575488364939,1723,2862,15,0
0.4074243597497962,3435,4431,50,0
0.7908993524043523,5676,333,51,1
0.13237318614925941,7079,9529,20,1
0.241626341392431,3238,5845,6,0
0.08228419278423027,8598,8796,26,1
0.15712046853178718,3570,6590,66,0
0.8979492654418578,7338,2210,77,1
0.3833166945509918,6449,9046,15,1
0.3205062931980611,7475,6283,21,0
0.8093817761151012,6658,4442,96,1
0.748169882603194,5816,3193,8,1
0.29956605105329803,1334,3397,23,1
0.15970800429791976,2600,5908,92,1
0.5781990909181538,5073,1717,59,1
0.7692891599632409,4845,6703,21,0
0.16401368284876983,8009,1448,79,0
0.21709560513183868,1016,1135,31,0
0.03189146412239252,3380,5909,34,0
0.14318658107679594,3666,9622,16,1
0.47242563886173716,4212,2484,52,0
0.4790841536328754,6485,3532,63,0
0.666767109573044,7176,8822,3,1
0.38091925926829107,6118,925,90,0
0.5646668277248112,2853,5227,40,0
0.5138556438694608,4384,1042,76,1
0.22883912984960353,6341,1763,2,0
0.4448607956758449,1486,7989,35,1
0.2504800843370817,4842,2182,94,1
0.5275822391733676,5362,2677,67,1
0.3206715130667154,7560,7535,12,0
0.04902489658415854,2104,4857,45,0
0.35438147474742054,7170,7736,46,1
0.08319979837906488,7662,9343,69,1
0.03752225210533677,2493,4710,21,1
0.2328962703707248,3686,8018,37,1
0.7877520500363893,6380,742,19,1
0.4460470825052234,6942,7064,42,0
0.5603499419468866,9748,564,77,1
0.4992795668071577,815,4488,76,1
0.3577331481065005,2913,7554,50,0
0.8825191405608793,4986,6236,49,0
0.1864623237696319,9136,9549,86,1
0.9621494874674158,9329,2354,2,1
0.17684534821002607,7681,6310,96,1
0.15336347690605023,6898,7445,31,0
0.16838919270162234,2358,7495,74,1
0.23191765649601204,1609,5301,29,0
0.37324696475963426,5903,5900,12,1
0.35779917326510136,2140,3751,2,1
0.11269704854942686,7811,965,48,1
0.18310677772447315,9710,7522,57,0
0.41689040088278917,8333,4034,22,1
0.0025729979102051548,5866,7900,41,1
0.8840260136680578,8086,427,14,0
0.3368685735093109,6101,4964,65,0
0.9982021877001963,6578,1962,64,1
0.7785637417437542,2682,288,60,1
0.348432592681867,8689,4268,22,1
0.9442402770069465,2087,5071,75,0
0.5782343832934946,4520,4570,39,0
0.9628769965531448,6460,3705,27,0
0.9672603338884168,871,771,30,0
0.6411486852998746,6751,6799,81,0
0.4861695422684912,3543,6659,85,0
0.6492563629060288,3065,8511,5,0
0.6261736270032386,5987,9338,34,1
0.6167699539532308,1814,1166,77,0
0.8769440064710338,4993,5304,28,0
0.9908200816823167,5764,3609,32,1
0.49019582336309486,9971,2805,80,1
0.1893746312718103,4347,3219,6,0
0.10533023058334323,5311,7760,72,0
0.223675378497308,7519,8931,57,0
0.6185643425441432,438,2947,3,0
0.7339663114711221,9538,411,70,1
0.6221840882932658,8385,4147,60,1
0.18279277436868469,1547,6988,74,1
0.2128693895563979,2982,1337,51,0
0.3281302794349704,9121,1589,83,0
0.8785621477346661,7289,7643,99,1
0.8506206197618313,9306,5512,19,0
0.7919883291047903,3152,1789,6,0
0.1348320014347033,3122,4082,40,0
0.6118851689410539,967,9179,20,0
0.6770547453241728,9857,9029,93,0
0.1544173615001342,90,4010,19,0
0.1556882908723759,3078,8206,13,0
0.3213162574295041,1823,1869,66,0
0.6122656954784408,2788,8411,88,0
0.3366531430062184,8515,9911,1,1
0.6809190765203992,8885,5610,4,1
0.8632347694822666,8012,987,87,0
0.8863461667646202,3619,8483,50,0
0.017844473597127153,438,3002,64,0
0.5761523829479208,2916,3403,39,0
0.11620002119728023,7245,6825,33,0
0.2681070273798375,4632,5093,31,0
0.9414025737703128,9420,1128,95,0
0.16675892755204524,2139,8712,88,1
0.2348481245454319,3733,903,49,0
0.7981757111383522,5835,2866,16,1
0.6680376100112929,6499,3833,39,0
0.7890139171926814,2717,16,90,1
0.14744210120647094,4387,6526,43,1
0.2507131603895011,8267,1996,61,0
0.08774833776127622,7410,1462,17,0
0.8006585794553868,4837,6504,92,1
0.9035690457371321,9933,8864,99,1
0.40457385623140274,3654,7646,95,0
0.6286744252871189,6875,7114,98,0
0.1231621870343711,7614,2904,44,1
0.2637914925602717,4857,5377,95,1
0.9055422114280894,3292,4604,8,0
0.8144529585940853,444,7830,8,0
0.20685987222642954,1569,6049,55,0
0.6077786939008519,4084,3439,95,0
0.37175631942292664,2770,5333,83,0
0.6051678408060189,9641,5989,86,0
0.24575572364324294,2693,6669,75,0
0.024556934661728258,6768,7892,39,0
0.514653742469615,1830,7117,76,0
0.015978771436186978,853,8374,46,0
0.4399583502710128,3670,2522,56,0
0.25510591227497303,6674,5403,22,1
0.6440850670911447,942,2820,86,0
0.2716173375020572,7812,6026,79,1
0.5114557873935677,3269,7717,12,1
0.31151265398172134,665,4444,13,0
0.7286677817231905,6850,8238,37,1
0.26776225644650153,5842,2517,48,1
0.013765320085685762,4670,1832,3,1
0.8231290515737225,8398,8705,89,0
0.6441459318272128,5832,33,59,0
0.8081410295174711,7084,445,1,0
0.9058837945618458,5331,2969,68,0
0.1102363153448147,199,9717,99,1
0.14668480622586988,2811,1219,69,0
0.9093863787719082,6066,1906,79,0
0.9696718024705513,2655,7902,21,0
0.2449204816012135,4908,5396,38,0
0.8179765250716536,1009,9975,52,1
0.8577413233672813,1124,2798,42,0
0.30202628784162144,877,7952,87,1
0.9554877686048291,1512,2584,86,1
0.09653410688409458,6090,7949,61,1
0.6026368168946302,1331,6841,82,0
0.7206261348935613,8061,3676,15,0
0.5028029137204363,6530,9508,84,1
0.03696226874685982,8449,3811,41,0
0.6418714544282494,5994,3334,9,1
0.5727886109826241,5221,703,23,1
0.5791280518254736,8295,5254,75,1
0.8791751739714464,2331,8597,58,1
0.5393237313869487,8787,607,33,0
0.6959421116271339,7217,5899,75,0
0.21871757656622026,8801,3932,38,1
0.06461348712588366,6165,5874,91,0
0.07954977301079436,6945,500,23,0
0.37077957037493414,7414,3302,75,1
0.35979711252662216,7018,3878,57,1
0.8280103121655019,387,752,61,0
0.8537180625983517,8228,8118,99,0
0.5470726674473012,8745,4644,39,1
0.7939799277903555,2225,3321,12,1
0.8807329450004343,2474,2081,14,1
0.8192772280513317,1701,4629,86,0
0.1346020158648652,3585,8430,28,0
0.2632060411680319,4545,830,27,1
0.00926077832691874,7611,9601,65,0
0.1353621117065006,9991,7326,92,0
0.899825748308792,2615,4681,14,1
0.19415232232211577,4919,3785,40,1
0.17793166560055973,2505,8265,78,0
0.012893045289221416,6170,171,95,1
0.07940173833982445,4911,1328,71,1
